extract,extract_label,type,records,file
Object.case_version_response__sys,Case Response,updates,0,
Object.case_version_response__sys,Case Response,deletes,0,
Object.case_version_response_doc__sys,Case Response-Doc,updates,0,
Object.case_version_response_doc__sys,Case Response-Doc,deletes,0,
Object.case_version_response_ref_doc__sys,Case Response-Ref-Doc,updates,0,
Object.case_version_response_ref_doc__sys,Case Response-Ref-Doc,deletes,0,
Object.case_version_section__sys,Case Section,updates,0,
Object.case_version_section__sys,Case Section,deletes,0,
Object.case_version_sig__sys,Case Signature,updates,0,
Object.case_version_sig__sys,Case Signature,deletes,0,
Object.case_version_subchecklist__sys,Case Sub-checklist,updates,0,
Object.case_version_subchecklist__sys,Case Sub-checklist,deletes,0,
Object.case_volume_metrics__v,Case Volume Metrics,updates,1,Object/case_volume_metrics__v.csv
Object.case_volume_metrics__v,Case Volume Metrics,deletes,0,
Object.casecase__c,case,updates,0,
Object.casecase__c,case,deletes,0,
Object.cdms_subject_adverse_event__v,CDMS Subject Adverse Event,updates,0,
Object.cdms_subject_adverse_event__v,CDMS Subject Adverse Event,deletes,0,
Object.cdms_subject_case_product__v,CDMS Subject Case Product,updates,0,
Object.cdms_subject_case_product__v,CDMS Subject Case Product,deletes,0,
Object.cdms_subject_case_product_dosage__v,CDMS Subject Case Product Dosage,updates,0,
Object.cdms_subject_case_product_dosage__v,CDMS Subject Case Product Dosage,deletes,0,
Object.cdms_subject_cause_of_death__v,CDMS Subject Cause of Death,updates,0,
Object.cdms_subject_cause_of_death__v,CDMS Subject Cause of Death,deletes,0,
Object.cdms_subject_drug_history__v,CDMS Subject Drug History,updates,0,
Object.cdms_subject_drug_history__v,CDMS Subject Drug History,deletes,0,
Object.cdms_subject_event_product_assessment__v,CDMS Subject Event Product Assessments,updates,0,
Object.cdms_subject_event_product_assessment__v,CDMS Subject Event Product Assessments,deletes,0,
Object.cdms_subject_height_history__v,CDMS Subject Height History,updates,0,
Object.cdms_subject_height_history__v,CDMS Subject Height History,deletes,0,
Object.cdms_subject_information__v,CDMS Subject Information,updates,0,
Object.cdms_subject_information__v,CDMS Subject Information,deletes,0,
Object.cdms_subject_last_menstruations__v,CDMS Subject Last Menstruations,updates,0,
Object.cdms_subject_last_menstruations__v,CDMS Subject Last Menstruations,deletes,0,
Object.cdms_subject_links__v,CDMS Subject Links,updates,0,
Object.cdms_subject_links__v,CDMS Subject Links,deletes,0,
Object.cdms_subject_medical_history__v,CDMS Subject Medical History,updates,0,
Object.cdms_subject_medical_history__v,CDMS Subject Medical History,deletes,0,
Object.cdms_subject_pregnancy_information__v,CDMS Subject Pregnancy Information,updates,0,
Object.cdms_subject_pregnancy_information__v,CDMS Subject Pregnancy Information,deletes,0,
Object.cdms_subject_test_results__v,CDMS Subject Test Results,updates,0,
Object.cdms_subject_test_results__v,CDMS Subject Test Results,deletes,0,
Object.cdms_subject_weight_history__v,CDMS Subject Weight History,updates,0,
Object.cdms_subject_weight_history__v,CDMS Subject Weight History,deletes,0,
Object.cdn_distribution_status__v,CDN Distribution Status,updates,0,
Object.cdn_distribution_status__v,CDN Distribution Status,deletes,0,
Object.channel_usage__v,Channel Usage,updates,0,
Object.channel_usage__v,Channel Usage,deletes,0,
Object.checklist__sys,Checklist,updates,0,
Object.checklist__sys,Checklist,deletes,0,
Object.checklist_creation_rule__v,Checklist Creation Rule,updates,0,
Object.checklist_creation_rule__v,Checklist Creation Rule,deletes,0,
Object.checklist_creation_rule_criteria__v,Checklist Creation Rule Criteria,updates,0,
Object.checklist_creation_rule_criteria__v,Checklist Creation Rule Criteria,deletes,0,
Object.checklist_design__sys,Checklist Design,updates,0,
Object.checklist_design__sys,Checklist Design,deletes,0,
Object.checklist_design_master__sys,Checklist Design Master,updates,0,
Object.checklist_design_master__sys,Checklist Design Master,deletes,0,
Object.checklist_design_translation__sys,Checklist Design Translation,updates,0,
Object.checklist_design_translation__sys,Checklist Design Translation,deletes,0,
Object.checklist_field_translation__sys,Checklist Field Translation,updates,0,
Object.checklist_field_translation__sys,Checklist Field Translation,deletes,0,
Object.clinical_outbound_event__v,Clinical Outbound Event,updates,0,
Object.clinical_outbound_event__v,Clinical Outbound Event,deletes,0,
Object.connection__sys,Connection,updates,0,
Object.connection__sys,Connection,deletes,0,
Object.connection_allowed_list__v,Connection Allowed List,updates,0,
Object.connection_allowed_list__v,Connection Allowed List,deletes,0,
Object.connection_authorization__sys,Connection Authorization,updates,0,
Object.connection_authorization__sys,Connection Authorization,deletes,0,
Object.connection_backed_crosslink__sys,Connection Backed Crosslink,updates,0,
Object.connection_backed_crosslink__sys,Connection Backed Crosslink,deletes,0,
Object.connection_client__sys,Connection Client,updates,0,
Object.connection_client__sys,Connection Client,deletes,0,
Object.connection_stats__sys,Connection Stats,updates,0,
Object.connection_stats__sys,Connection Stats,deletes,0,
Object.controlled_vocabulary__v,Controlled Vocabulary,updates,0,
Object.controlled_vocabulary__v,Controlled Vocabulary,deletes,0,
Object.core_rmp__v,Core Risk Management Plan,updates,0,
Object.core_rmp__v,Core Risk Management Plan,deletes,0,
Object.core_rmp_version__v,Core Risk Management Plan Version,updates,0,
Object.core_rmp_version__v,Core Risk Management Plan Version,deletes,0,
Object.country__v,Country,updates,0,
Object.country__v,Country,deletes,0,
Object.country_state_province__v,Country State / Province,updates,0,
Object.country_state_province__v,Country State / Province,deletes,0,
Object.crosslink_source_event__sys,Crosslink Source Event,updates,0,
Object.crosslink_source_event__sys,Crosslink Source Event,deletes,0,
Object.currency__sys,Currency,updates,0,
Object.currency__sys,Currency,deletes,0,
Object.custom_ash__c,Custom ASH,updates,0,
Object.custom_ash__c,Custom ASH,deletes,0,
Object.custom_cv__c,custom_cv,updates,0,
Object.custom_cv__c,custom_cv,deletes,0,
Object.custom_object__c,custom_object,updates,0,
Object.custom_object__c,custom_object,deletes,0,
Object.custom_object_ch__c,custom_object_ch,updates,0,
Object.custom_object_ch__c,custom_object_ch,deletes,0,
Object.custom_object_for_testing__c,custom_object _for_testing,updates,0,
Object.custom_object_for_testing__c,custom_object _for_testing,deletes,0,
Object.custom_object_vi__c,custom_object_vi,updates,0,
Object.custom_object_vi__c,custom_object_vi,deletes,0,
Object.custom_object_vi_sig__sys,custom_object_vi Signature,updates,0,
Object.custom_object_vi_sig__sys,custom_object_vi Signature,deletes,0,
Object.custom_object_vishal__c,custom_object_vishal,updates,0,
Object.custom_object_vishal__c,custom_object_vishal,deletes,0,
Object.custom_sample__c,custom sample,updates,0,
Object.custom_sample__c,custom sample,deletes,0,
Object.custom_temp__c,custom_temp,updates,0,
Object.custom_temp__c,custom_temp,deletes,0,
Object.custom_user_jeev__c,custom,updates,0,
Object.custom_user_jeev__c,custom,deletes,0,
Object.customj_jeev__c,Customj,updates,0,
Object.customj_jeev__c,Customj,deletes,0,
Object.cvc__c,cvc,updates,0,
