extract,extract_label,type,records,file
Object.meddra_criteria__v,MedDRA Criteria,deletes,0,
Object.meddra_join__v,MedDRA Join,updates,0,
Object.meddra_join__v,MedDRA Join,deletes,0,
Object.meddra_localized__v,MedDRA (Localized),updates,0,
Object.meddra_localized__v,MedDRA (Localized),deletes,0,
Object.meddra_query__v,MedDRA Query,updates,0,
Object.meddra_query__v,MedDRA Query,deletes,0,
Object.meddra_query_building_block__v,MedDRA Query Building Block,updates,0,
Object.meddra_query_building_block__v,MedDRA Query Building Block,deletes,0,
Object.meddra_synonym__v,MedDRA Synonym,updates,0,
Object.meddra_synonym__v,MedDRA Synonym,deletes,0,
Object.meddra_synonym_context__v,MedDRA Synonym Context,updates,0,
Object.meddra_synonym_context__v,MedDRA Synonym Context,deletes,0,
Object.meddra_version__v,MedDRA Version,updates,0,
Object.meddra_version__v,MedDRA Version,deletes,0,
Object.new_cust_object__c,new_cust_object,updates,0,
Object.new_cust_object__c,new_cust_object,deletes,0,
Object.newobjectfortesting__c,newobjectfortesting,updates,0,
Object.newobjectfortesting__c,newobjectfortesting,deletes,0,
Object.object_lifecycle_stage_label__sys,Object Lifecycle Stage Label,updates,0,
Object.object_lifecycle_stage_label__sys,Object Lifecycle Stage Label,deletes,0,
Object.object_lifecycle_state_stage__sys,Object Lifecycle State-Stage,updates,0,
Object.object_lifecycle_state_stage__sys,Object Lifecycle State-Stage,deletes,0,
Object.object_type__v,object_type__v,updates,0,
Object.object_type__v,object_type__v,deletes,0,
Object.office_edit_version__sys,Office Edit Version,updates,0,
Object.office_edit_version__sys,Office Edit Version,deletes,0,
Object.organization__v,Organization,updates,0,
Object.organization__v,Organization,deletes,0,
Object.outbound_package__v,Outbound Package,updates,0,
Object.outbound_package__v,Outbound Package,deletes,0,
Object.package_component__v,Package Component,updates,0,
Object.package_component__v,Package Component,deletes,0,
Object.package_dataset__sys,Package Dataset,updates,0,
Object.package_dataset__sys,Package Dataset,deletes,0,
Object.perf_stats__v,Performance Statistics,updates,0,
Object.perf_stats__v,Performance Statistics,deletes,0,
Object.permalink__sys,Permalink,updates,0,
Object.permalink__sys,Permalink,deletes,0,
Object.permission_set__sys,Permission Set,updates,0,
Object.permission_set__sys,Permission Set,deletes,0,
Object.person__sys,Person,updates,0,
Object.person__sys,Person,deletes,0,
Object.person_prior__sys,Prior Person,updates,0,
Object.person_prior__sys,Prior Person,deletes,0,
Object.prediction_metric__sys,Prediction Metric,updates,0,
Object.prediction_metric__sys,Prediction Metric,deletes,0,
Object.predictions__sys,Prediction,updates,0,
Object.predictions__sys,Prediction,deletes,0,
Object.pregnancyform__c,PregnancyForm,updates,0,
Object.pregnancyform__c,PregnancyForm,deletes,0,
Object.product__v,Product,updates,0,
Object.product__v,Product,deletes,0,
Object.product_alias__v,Product Alias,updates,0,
Object.product_alias__v,Product Alias,deletes,0,
Object.product_constituent__v,Product Constituent,updates,0,
Object.product_constituent__v,Product Constituent,deletes,0,
Object.product_event_combination__v,Product-Event Combination,updates,0,
Object.product_event_combination__v,Product-Event Combination,deletes,0,
Object.product_event_disposition__v,PEC Period,updates,0,
Object.product_event_disposition__v,PEC Period,deletes,0,
Object.product_family__v,Product Family,updates,0,
Object.product_family__v,Product Family,deletes,0,
Object.product_family_product__v,Product Family Product,updates,0,
Object.product_family_product__v,Product Family Product,deletes,0,
Object.product_family_substance__v,Product Family Substance,updates,0,
Object.product_family_substance__v,Product Family Substance,deletes,0,
Object.product_registration__v,Product Registration,updates,0,
Object.product_registration__v,Product Registration,deletes,0,
Object.product_substance__v,Product Substance,updates,0,
Object.product_substance__v,Product Substance,deletes,0,
Object.product_variant__v,Product Variant,updates,0,
Object.product_variant__v,Product Variant,deletes,0,
Object.psmf_document_review__v,PSMF Document Review,updates,0,
Object.psmf_document_review__v,PSMF Document Review,deletes,0,
Object.psmf_logbook__v,PSMF Logbook,updates,0,
Object.psmf_logbook__v,PSMF Logbook,deletes,0,
Object.psmf_logbook_entry__v,PSMF Logbook Entry,updates,0,
Object.psmf_logbook_entry__v,PSMF Logbook Entry,deletes,0,
Object.psmf_periodic_review__v,PSMF Periodic Review,updates,0,
Object.psmf_periodic_review__v,PSMF Periodic Review,deletes,0,
Object.pv_agreement__v,PV Agreement,updates,0,
Object.pv_agreement__v,PV Agreement,deletes,0,
Object.pv_agreement_sig__sys,PV Agreement Signature,updates,0,
Object.pv_agreement_sig__sys,PV Agreement Signature,deletes,0,
Object.pva_action_item__v,PVA Action Item,updates,0,
Object.pva_action_item__v,PVA Action Item,deletes,0,
Object.pva_activity__v,PVA Activity,updates,0,
Object.pva_activity__v,PVA Activity,deletes,0,
Object.pva_contact__v,PVA Contact,updates,0,
Object.pva_contact__v,PVA Contact,deletes,0,
Object.pva_country__v,PVA-Country,updates,0,
Object.pva_country__v,PVA-Country,deletes,0,
Object.pva_document_distribution__v,PVA Document for Distribution,updates,0,
Object.pva_document_distribution__v,PVA Document for Distribution,deletes,0,
Object.pva_document_distribution_event__v,PVA Document Distribution Event,updates,0,
Object.pva_document_distribution_event__v,PVA Document Distribution Event,deletes,0,
Object.pva_obligation__v,PVA Obligation,updates,0,
Object.pva_obligation__v,PVA Obligation,deletes,0,
Object.pva_product__v,PVA-Product,updates,0,
Object.pva_product__v,PVA-Product,deletes,0,
Object.pva_reconciliation__v,PVA Reconciliation,updates,0,
Object.pva_reconciliation__v,PVA Reconciliation,deletes,0,
Object.pva_relationship__v,Relationship,updates,0,
Object.pva_relationship__v,Relationship,deletes,0,
Object.pva_study__v,PVA-Study,updates,0,
Object.pva_study__v,PVA-Study,deletes,0,
Object.quality_outbound_event__v,Quality Outbound Event,updates,0,
Object.quality_outbound_event__v,Quality Outbound Event,deletes,0,
Object.question_design__sys,Question Design,updates,0,
Object.question_design__sys,Question Design,deletes,0,
Object.question_design_reference_document__sys,Question Design Reference Document,updates,0,
Object.question_design_reference_document__sys,Question Design Reference Document,deletes,0,
Object.question_field_mapping__v,Question Field Mapping,updates,0,
Object.question_field_mapping__v,Question Field Mapping,deletes,0,
Object.questionnaire_pal_context__v,Questionnaire PAL Context,updates,0,
Object.questionnaire_pal_context__v,Questionnaire PAL Context,deletes,0,
Object.raman_products__c,raman_products,updates,0,
Object.raman_products__c,raman_products,deletes,0,
Object.ramandoc__c,ramandoc,updates,0,
Object.ramandoc__c,ramandoc,deletes,0,
Object.ramantest__c,Ramantest,updates,0,
Object.ramantest__c,Ramantest,deletes,0,
Object.reason_omitted__v,Reason Omitted,updates,0,
Object.reason_omitted__v,Reason Omitted,deletes,0,
Object.reference_lookup__sys,Reference Lookup,updates,0,
Object.reference_lookup__sys,Reference Lookup,deletes,0,
Object.region__v,Region,updates,0,
Object.region__v,Region,deletes,0,
Object.rendition_profile__sys,Rendition Profile,updates,0,
Object.rendition_profile__sys,Rendition Profile,deletes,0,
Object.reporting_family__v,Reporting Family,updates,0,
Object.reporting_family__v,Reporting Family,deletes,0,
Object.reporting_family_member__v,Reporting Family Member,updates,0,
Object.reporting_family_member__v,Reporting Family Member,deletes,0,
Object.reporting_group_product_registration__v,Reporting Group Product Registration,updates,0,
Object.reporting_group_product_registration__v,Reporting Group Product Registration,deletes,0,
Object.reporting_group_study_registration__v,Reporting Group Study Registration,updates,0,
Object.reporting_group_study_registration__v,Reporting Group Study Registration,deletes,0,
Object.response__sys,Response,updates,0,
Object.response__sys,Response,deletes,0,
Object.rmp_core_implementation_strategy__v,RMP Core Implementation Strategy,updates,0,
Object.rmp_core_implementation_strategy__v,RMP Core Implementation Strategy,deletes,0,
Object.rmp_local_implementation_strategy__v,RMP Local Implementation Strategy,updates,0,
Object.rmp_local_implementation_strategy__v,RMP Local Implementation Strategy,deletes,0,
Object.rmp_risk__v,RMP Risk,updates,0,
Object.rmp_risk__v,RMP Risk,deletes,0,
Object.rmp_risk_measure__v,RMP Risk Measure,updates,0,
Object.rmp_risk_measure__v,RMP Risk Measure,deletes,0,
Object.rmp_risk_measure_tracking__v,RMP Risk Measure Tracking,updates,0,
Object.rmp_risk_measure_tracking__v,RMP Risk Measure Tracking,deletes,0,
Object.route_of_administration__v,Route of Administration,updates,0,
Object.route_of_administration__v,Route of Administration,deletes,0,
Object.safety_connector_origin_safety__v,Safety CDMS Outbound Event,updates,0,
Object.safety_connector_origin_safety__v,Safety CDMS Outbound Event,deletes,0,
Object.safety_investigation__v,Safety Investigation,updates,0,
Object.safety_investigation__v,Safety Investigation,deletes,0,
Object.safety_investigation_meddra_event__v,Safety Investigation MedDRA Event,updates,0,
Object.safety_investigation_meddra_event__v,Safety Investigation MedDRA Event,deletes,0,
Object.safety_investigation_reporting_period__v,Signal Reporting Period,updates,0,
Object.safety_investigation_reporting_period__v,Signal Reporting Period,deletes,0,
Object.safety_migration_configuration__v,Safety Migration Configuration,updates,0,
Object.safety_migration_configuration__v,Safety Migration Configuration,deletes,0,
Object.safety_rule__v,Safety Rule,updates,0,
Object.safety_rule__v,Safety Rule,deletes,0,
Object.safety_rule_function__v,Safety Rule Function,updates,0,
Object.safety_rule_function__v,Safety Rule Function,deletes,0,
Object.safety_rule_function_family__v,Safety Rule Function Family,updates,0,
Object.safety_rule_function_family__v,Safety Rule Function Family,deletes,0,
Object.safety_rule_parameter__v,Safety Rule Parameter,updates,0,
Object.safety_rule_parameter__v,Safety Rule Parameter,deletes,0,
Object.safety_rule_set__v,Safety Rule Set,updates,0,
Object.safety_rule_set__v,Safety Rule Set,deletes,0,
Object.safety_system_settings__v,Safety System Settings,updates,0,
Object.safety_system_settings__v,Safety System Settings,deletes,0,
Object.sample_object__c,sample object,updates,0,
Object.sample_object__c,sample object,deletes,0,
Object.schedule__v,Schedule,updates,0,
Object.schedule__v,Schedule,deletes,0,
Object.schedule_component__v,Schedule Component,updates,0,
Object.schedule_component__v,Schedule Component,deletes,0,
Object.schedule_recurrence__v,Schedule Recurrence,updates,0,
Object.schedule_recurrence__v,Schedule Recurrence,deletes,0,
Object.scheduled_data_export__sys,Scheduled Data Export,updates,0,
Object.scheduled_data_export__sys,Scheduled Data Export,deletes,0,
Object.scheduled_event__v,Scheduled Event,updates,0,
Object.scheduled_event__v,Scheduled Event,deletes,0,
Object.scheduler_exception__v,Scheduler Exception,updates,0,
Object.scheduler_exception__v,Scheduler Exception,deletes,0,
Object.section__sys,Section,updates,0,
Object.section__sys,Section,deletes,0,
Object.section_design__sys,Section Design,updates,0,
Object.section_design__sys,Section Design,deletes,0,
Object.security_policy__sys,Security Policy,updates,0,
Object.security_policy__sys,Security Policy,deletes,0,
Object.security_profile__sys,Security Profile,updates,0,
Object.security_profile__sys,Security Profile,deletes,0,
Object.sequential_number__v,Sequential Number,updates,0,
Object.sequential_number__v,Sequential Number,deletes,0,
Object.share_inbox_documents__sys,Share Inbox Document,updates,0,
Object.share_inbox_documents__sys,Share Inbox Document,deletes,0,
Object.si_available_answer__sys,SI Available Answer,updates,0,
Object.si_available_answer__sys,SI Available Answer,deletes,0,
Object.si_checklist__sys,SI Checklist,updates,0,
Object.si_checklist__sys,SI Checklist,deletes,0,
Object.si_dependency__sys,SI Dependency,updates,0,
Object.si_dependency__sys,SI Dependency,deletes,0,
Object.si_response__sys,SI Response,updates,0,
Object.si_response__sys,SI Response,deletes,0,
Object.si_response_doc__sys,SI Response-Doc,updates,0,
Object.si_response_doc__sys,SI Response-Doc,deletes,0,
Object.si_response_ref_doc__sys,SI Response-Ref-Doc,updates,0,
Object.si_response_ref_doc__sys,SI Response-Ref-Doc,deletes,0,
Object.si_section__sys,SI Section,updates,0,
Object.si_section__sys,SI Section,deletes,0,
Object.si_subchecklist__sys,SI Sub-checklist,updates,0,
Object.si_subchecklist__sys,SI Sub-checklist,deletes,0,
Object.signal_alert_rule__v,Signal Alert Rule,updates,0,
Object.signal_alert_rule__v,Signal Alert Rule,deletes,0,
Object.signal_alert_rule_set__v,Signal Alert Rule Set,updates,0,
Object.signal_alert_rule_set__v,Signal Alert Rule Set,deletes,0,
Object.signal_alert_rule_set_product_profile__v,Signal Alert Rule Set Product Profile,updates,0,
Object.signal_alert_rule_set_product_profile__v,Signal Alert Rule Set Product Profile,deletes,0,
Object.signal_calculation__v,Signal Calculation,updates,0,
Object.signal_calculation__v,Signal Calculation,deletes,0,
Object.signal_calculation_mapping__v,Signal Calculation Mapping,updates,0,
Object.signal_calculation_mapping__v,Signal Calculation Mapping,deletes,0,
Object.signal_calculation_run__v,Signal Calculation Run,updates,0,
Object.signal_calculation_run__v,Signal Calculation Run,deletes,0,
Object.signal_calculations_setting__v,Signal Calculations Setting,updates,0,
Object.signal_calculations_setting__v,Signal Calculations Setting,deletes,0,
Object.signal_case_series__v,Signal Case Series,updates,0,
Object.signal_case_series__v,Signal Case Series,deletes,0,
Object.signal_health_authority_database__v,Signal Health Authority Database,updates,0,
Object.signal_health_authority_database__v,Signal Health Authority Database,deletes,0,
Object.signal_product_profile__v,Signal Product Profile,updates,0,
Object.signal_product_profile__v,Signal Product Profile,deletes,0,
Object.signal_source__v,Signal Source,updates,0,
Object.signal_source__v,Signal Source,deletes,0,
Object.sirp_available_answer__sys,SRP Available Answer,updates,0,
Object.sirp_available_answer__sys,SRP Available Answer,deletes,0,
Object.sirp_checklist__sys,SRP Checklist,updates,0,
Object.sirp_checklist__sys,SRP Checklist,deletes,0,
Object.sirp_dependency__sys,SRP Dependency,updates,0,
Object.sirp_dependency__sys,SRP Dependency,deletes,0,
Object.sirp_response__sys,SRP Response,updates,0,
Object.sirp_response__sys,SRP Response,deletes,0,
Object.sirp_response_doc__sys,SRP Response-Doc,updates,0,
Object.sirp_response_doc__sys,SRP Response-Doc,deletes,0,
Object.sirp_response_ref_doc__sys,SRP Response-Ref-Doc,updates,0,
Object.sirp_response_ref_doc__sys,SRP Response-Ref-Doc,deletes,0,
Object.sirp_section__sys,SRP Section,updates,0,
Object.sirp_section__sys,SRP Section,deletes,0,
Object.sirp_subchecklist__sys,SRP Sub-checklist,updates,0,
Object.sirp_subchecklist__sys,SRP Sub-checklist,deletes,0,
Object.source__v,Source,updates,0,
Object.source__v,Source,deletes,0,
Object.standard_question_field_mapping__v,Standard Question Field Mapping,updates,0,
Object.standard_question_field_mapping__v,Standard Question Field Mapping,deletes,0,
Object.statistical_data__v,Statistical Data,updates,0,
Object.statistical_data__v,Statistical Data,deletes,0,
Object.study__v,Study,updates,0,
Object.study__v,Study,deletes,0,
Object.study_arm__v,Study Arm,updates,0,
Object.study_arm__v,Study Arm,deletes,0,
Object.study_arm_product__v,Study Arm Product,updates,0,
Object.study_arm_product__v,Study Arm Product,deletes,0,
Object.study_indication__v,Study Indication,updates,0,
Object.study_indication__v,Study Indication,deletes,0,
Object.study_person__v,Study Person,updates,0,
Object.study_person__v,Study Person,deletes,0,
Object.study_product__v,Study Product,updates,0,
Object.study_product__v,Study Product,deletes,0,
Object.study_product_country__v,Study Product Country,updates,0,
Object.study_product_country__v,Study Product Country,deletes,0,
Object.study_product_group__v,Study Product Group,updates,0,
Object.study_product_group__v,Study Product Group,deletes,0,
Object.study_product_placeholder__v,Study Product Placeholder,updates,0,
Object.study_product_placeholder__v,Study Product Placeholder,deletes,0,
Object.study_product_placeholder_datasheet__v,Study Product Placeholder Datasheet,updates,0,
Object.study_product_placeholder_datasheet__v,Study Product Placeholder Datasheet,deletes,0,
Object.study_product_substance__v,Study Product Substance,updates,0,
Object.study_product_substance__v,Study Product Substance,deletes,0,
Object.study_registration__v,Study Registration,updates,0,
Object.study_registration__v,Study Registration,deletes,0,
Object.study_site__v,Study Site,updates,0,
Object.study_site__v,Study Site,deletes,0,
Object.subchecklist_design__sys,Sub-Checklist Design,updates,0,
Object.subchecklist_design__sys,Sub-Checklist Design,deletes,0,
Object.substance__v,Substance,updates,0,
Object.substance__v,Substance,deletes,0,
Object.substance_alias__v,Substance Alias,updates,0,
Object.substance_alias__v,Substance Alias,deletes,0,
Object.suppressed_email_address__sys,Suppressed Email Address,updates,0,
Object.suppressed_email_address__sys,Suppressed Email Address,deletes,0,
Object.tab_group__sys,Tab Group,updates,0,
Object.tab_group__sys,Tab Group,deletes,0,
Object.tabular_data_format__v,Tabular Data Format,updates,0,
Object.tabular_data_format__v,Tabular Data Format,deletes,0,
Object.tabular_source_file__v,Tabular Source File,updates,0,
Object.tabular_source_file__v,Tabular Source File,deletes,0,
Object.test101__c,Test101,updates,0,
Object.test101__c,Test101,deletes,0,
Object.test1__c,test,updates,0,
Object.test1__c,test,deletes,0,
Object.test2__c,Test,updates,0,
Object.test2__c,Test,deletes,0,
Object.test__c,Test,updates,0,
Object.test__c,Test,deletes,0,
Object.testobect__c,TEST-OBJECT,updates,0,
Object.testobect__c,TEST-OBJECT,deletes,0,
Object.trained_model__sys,Trained Model,updates,0,
Object.trained_model__sys,Trained Model,deletes,0,
Object.trained_model_performance_metric__sys,Trained Model Performance Metric,updates,0,
Object.trained_model_performance_metric__sys,Trained Model Performance Metric,deletes,0,
Object.training_object__c,Training Object,updates,0,
Object.training_object__c,Training Object,deletes,0,
Object.training_session__c,Training session,updates,0,
Object.training_session__c,Training session,deletes,0,
Object.training_session_nr__c,Training Session NR,updates,0,
Object.training_session_nr__c,Training Session NR,deletes,0,
Object.translation_connection_language__v,Translation Connection Language,updates,0,
Object.translation_connection_language__v,Translation Connection Language,deletes,0,
Object.translation_localization__v,Translation Localization,updates,0,
Object.translation_localization__v,Translation Localization,deletes,0,
Object.translation_settings__v,Translation Settings,updates,0,
Object.translation_settings__v,Translation Settings,deletes,0,
Object.transmission__v,Transmission,updates,0,
Object.transmission__v,Transmission,deletes,0,
Object.transmission_available_answer__sys,Transmission Available Answer,updates,0,
Object.transmission_available_answer__sys,Transmission Available Answer,deletes,0,
Object.transmission_checklist__sys,Transmission Checklist,updates,0,
Object.transmission_checklist__sys,Transmission Checklist,deletes,0,
Object.transmission_dependency__sys,Transmission Dependency,updates,0,
Object.transmission_dependency__sys,Transmission Dependency,deletes,0,
Object.transmission_message__v,Transmission Message,updates,0,
Object.transmission_message__v,Transmission Message,deletes,0,
Object.transmission_output_template__v,Transmission Output Template,updates,0,
Object.transmission_output_template__v,Transmission Output Template,deletes,0,
Object.transmission_profile__v,Transmission Profile,updates,0,
Object.transmission_profile__v,Transmission Profile,deletes,0,
Object.transmission_profile_email__v,Transmission Profile Email,updates,0,
Object.transmission_profile_email__v,Transmission Profile Email,deletes,0,
Object.transmission_profile_scope__v,Transmission Profile Scope,updates,0,
Object.transmission_profile_scope__v,Transmission Profile Scope,deletes,0,
Object.transmission_response__sys,Transmission Response,updates,0,
Object.transmission_response__sys,Transmission Response,deletes,0,
Object.transmission_response_doc__sys,Transmission Response-Doc,updates,0,
Object.transmission_response_doc__sys,Transmission Response-Doc,deletes,0,
Object.transmission_response_ref_doc__sys,Transmission Response-Ref-Doc,updates,0,
Object.transmission_response_ref_doc__sys,Transmission Response-Ref-Doc,deletes,0,
Object.transmission_section__sys,Transmission Section,updates,0,
Object.transmission_section__sys,Transmission Section,deletes,0,
Object.transmission_sig__sys,Transmission Signature,updates,0,
Object.transmission_sig__sys,Transmission Signature,deletes,0,
Object.transmission_study__v,Transmission Study,updates,0,
Object.transmission_study__v,Transmission Study,deletes,0,
Object.transmission_subchecklist__sys,Transmission Sub-checklist,updates,0,
Object.transmission_subchecklist__sys,Transmission Sub-checklist,deletes,0,
Object.transmission_system_log__v,Transmission System Log,updates,0,
Object.transmission_system_log__v,Transmission System Log,deletes,0,
Object.tst__c,tst,updates,0,
Object.tst__c,tst,deletes,0,
Object.unit_of_measurement__v,Unit of Measurement,updates,0,
Object.unit_of_measurement__v,Unit of Measurement,deletes,0,
Object.user__sys,User,updates,1,Object/user__sys.csv
Object.user__sys,User,deletes,0,
Object.user_access_control__c,user access control,updates,0,
Object.user_access_control__c,user access control,deletes,0,
Object.user_access_group_assignment__v,User Access Group Assignment,updates,0,
Object.user_access_group_assignment__v,User Access Group Assignment,deletes,0,
Object.user_assignment_attributes__v,User Assignment Attributes,updates,0,
Object.user_assignment_attributes__v,User Assignment Attributes,deletes,0,
Object.user_role__sys,User Role,updates,0,
Object.user_role__sys,User Role,deletes,0,
Object.user_role_constraint__v,User Role Constraint,updates,0,
Object.user_role_constraint__v,User Role Constraint,deletes,0,
Object.user_role_setup__v,User Role Setup,updates,0,
Object.user_role_setup__v,User Role Setup,deletes,0,
Object.user_task__v,User Task,updates,0,
Object.user_task__v,User Task,deletes,0,
Object.user_team_assignment__v,User Team Assignment,updates,0,
Object.user_team_assignment__v,User Team Assignment,deletes,0,
Object.validation_criteria__v,Validation Criteria,updates,0,
Object.validation_criteria__v,Validation Criteria,deletes,0,
Object.validation_result__v,Validation Result,updates,0,
Object.validation_result__v,Validation Result,deletes,0,
Object.vault_component__v,Vault Component,updates,0,
Object.vault_component__v,Vault Component,deletes,0,
Object.vault_component_relationship__sys,Vault Component Relationship,updates,0,
Object.vault_component_relationship__sys,Vault Component Relationship,deletes,0,
Object.vault_package__v,Inbound Package,updates,0,
Object.vault_package__v,Inbound Package,deletes,0,
Object.vault_package_code__sys,Inbound Package Code,updates,0,
Object.vault_package_code__sys,Inbound Package Code,deletes,0,
Object.vault_package_component__v,Inbound Package Component,updates,0,
Object.vault_package_component__v,Inbound Package Component,deletes,0,
Object.vault_package_data__v,Inbound Package Data,updates,0,
Object.vault_package_data__v,Inbound Package Data,deletes,0,
Object.vault_package_step__v,Inbound Package Step,updates,0,
Object.vault_package_step__v,Inbound Package Step,deletes,0,
Object.veevaid_invite_vault_user_creation__sys,VeevaID invite: Vault User Creation,updates,0,
Object.veevaid_invite_vault_user_creation__sys,VeevaID invite: Vault User Creation,deletes,0,
Object.vfm_file_security_policy__v,VFM File Security Policy,updates,0,
Object.vfm_file_security_policy__v,VFM File Security Policy,deletes,0,
Object.vfm_user__sys,Vault File Manager User,updates,0,
Object.vfm_user__sys,Vault File Manager User,deletes,0,
Object.vmdl_hello_world__c,vMDL Hello World,updates,0,
Object.vmdl_hello_world__c,vMDL Hello World,deletes,0,
Object.vsdk_hello_world__c,vSDK Hello World,updates,0,
Object.vsdk_hello_world__c,vSDK Hello World,deletes,0,
Object.watchlist__v,Watchlist,updates,0,
Object.watchlist__v,Watchlist,deletes,0,
Object.watchlist_meddra_query__v,Watchlist MedDRA Query,updates,0,
Object.watchlist_meddra_query__v,Watchlist MedDRA Query,deletes,0,
Object.workbench_case_series__v,Workbench Case Series,updates,0,
Object.workbench_case_series__v,Workbench Case Series,deletes,0,
Object.workbench_dashboard__v,Workbench Dashboard,updates,0,
Object.workbench_dashboard__v,Workbench Dashboard,deletes,0,
Object.workbench_dashboard_component__v,Workbench Dashboard Component,updates,0,
Object.workbench_dashboard_component__v,Workbench Dashboard Component,deletes,0,
Object.workbench_dashboard_filter__v,Workbench Dashboard Filter,updates,0,
Object.workbench_dashboard_filter__v,Workbench Dashboard Filter,deletes,0,
Object.workbench_dashboard_tab__v,Workbench Dashboard Tab,updates,0,
Object.workbench_dashboard_tab__v,Workbench Dashboard Tab,deletes,0,
Object.workbench_report__v,Workbench Report,updates,0,
Object.workbench_report__v,Workbench Report,deletes,0,
Object.workbench_report_set__v,Workbench Report Set,updates,0,
Object.workbench_report_set__v,Workbench Report Set,deletes,0,
Object.workbench_report_set_definition__v,Workbench Report Set Definition,updates,0,
Object.workbench_report_set_definition__v,Workbench Report Set Definition,deletes,0,
Object.workbench_user_dashboard__v,Workbench User Dashboard,updates,0,
Object.workbench_user_dashboard__v,Workbench User Dashboard,deletes,0,
Object.workbench_view__v,Workbench View,updates,0,
Object.workbench_view__v,Workbench View,deletes,0,
Object.workbench_view_column__v,Workbench View Column,updates,0,
Object.workbench_view_column__v,Workbench View Column,deletes,0,
Object.workbench_view_dependency__v,Workbench View Dependency,updates,0,
Object.workbench_view_dependency__v,Workbench View Dependency,deletes,0,
Object.workbench_view_object__v,Workbench View Object,updates,0,
Object.workbench_view_object__v,Workbench View Object,deletes,0,
Object.workflow__v,Workflow,updates,0,
Object.workflow__v,Workflow,deletes,0,
Object.workflow_role_setup__v,Workflow Role Setup,updates,0,
Object.workflow_role_setup__v,Workflow Role Setup,deletes,0,
Object.workflow_variable__sys,Workflow Variable,updates,0,
Object.workflow_variable__sys,Workflow Variable,deletes,0,
Object.xml_element__v,XML Element,updates,0,
Object.xml_element__v,XML Element,deletes,0,
Picklist.picklist__sys,Picklist,updates,0,
Picklist.picklist__sys,Picklist,deletes,0,
Workflow.active_legacy_workflow__sys,Active Legacy Workflow,updates,0,
Workflow.active_legacy_workflow__sys,Active Legacy Workflow,deletes,0,
Workflow.active_legacy_workflow_task__sys,Active Legacy Workflow Task,updates,0,
Workflow.active_legacy_workflow_task__sys,Active Legacy Workflow Task,deletes,0,
Workflow.workflow__sys,Workflow,updates,0,
Workflow.workflow__sys,Workflow,deletes,0,
Workflow.workflow_item__sys,Workflow Item,updates,0,
Workflow.workflow_item__sys,Workflow Item,deletes,0,
Workflow.workflow_task__sys,Workflow Task,updates,0,
Workflow.workflow_task__sys,Workflow Task,deletes,0,
Workflow.workflow_task_item__sys,Workflow Task Item,updates,0,
Workflow.workflow_task_item__sys,Workflow Task Item,deletes,0,
